DATE_BY_QUARTER,BILLIONS_OF_DOLLARS
1/1/1947,243.1
4/1/1947,246.3
7/1/1947,250.1
10/1/1947,260.3
1/1/1948,266.2
4/1/1948,272.9
7/1/1948,279.5
10/1/1948,280.7
1/1/1949,275.4
4/1/1949,271.7
7/1/1949,273.3
10/1/1949,271
1/1/1950,281.2
4/1/1950,290.7
7/1/1950,308.5
10/1/1950,320.3
1/1/1951,336.4
4/1/1951,344.5
7/1/1951,351.8
10/1/1951,356.6
1/1/1952,360.2
4/1/1952,361.4
7/1/1952,368.1
10/1/1952,381.2
1/1/1953,388.5
4/1/1953,392.3
7/1/1953,391.7
10/1/1953,386.5
1/1/1954,385.9
4/1/1954,386.7
7/1/1954,391.6
10/1/1954,400.3
1/1/1955,413.8
4/1/1955,422.2
7/1/1955,430.9
10/1/1955,437.8
1/1/1956,440.5
4/1/1956,446.8
7/1/1956,452
10/1/1956,461.3
1/1/1957,470.6
4/1/1957,472.8
7/1/1957,480.3
10/1/1957,475.7
1/1/1958,468.4
4/1/1958,472.8
7/1/1958,486.7
10/1/1958,500.4
1/1/1959,511.1
4/1/1959,524.2
7/1/1959,525.2
10/1/1959,529.3
1/1/1960,543.3
4/1/1960,542.7
7/1/1960,546
10/1/1960,541.1
1/1/1961,545.9
4/1/1961,557.4
7/1/1961,568.2
10/1/1961,581.6
1/1/1962,595.2
4/1/1962,602.6
7/1/1962,609.6
10/1/1962,613.1
1/1/1963,622.7
4/1/1963,631.8
7/1/1963,645
10/1/1963,654.8
1/1/1964,671.1
4/1/1964,680.8
7/1/1964,692.8
10/1/1964,698.4
1/1/1965,719.2
4/1/1965,732.4
7/1/1965,750.2
10/1/1965,773.1
1/1/1966,797.3
4/1/1966,807.2
7/1/1966,820.8
10/1/1966,834.9
1/1/1967,846
4/1/1967,851.1
7/1/1967,866.6
10/1/1967,883.2
1/1/1968,911.1
4/1/1968,936.3
7/1/1968,952.3
10/1/1968,970.1
1/1/1969,995.4
4/1/1969,1011.4
7/1/1969,1032
10/1/1969,1040.7
1/1/1970,1053.5
4/1/1970,1070.1
7/1/1970,1088.5
10/1/1970,1091.5
1/1/1971,1137.8
4/1/1971,1159.4
7/1/1971,1180.3
10/1/1971,1193.6
1/1/1972,1233.8
4/1/1972,1270.1
7/1/1972,1293.8
10/1/1972,1332
1/1/1973,1380.7
4/1/1973,1417.6
7/1/1973,1436.8
10/1/1973,1479.1
1/1/1974,1494.7
4/1/1974,1534.2
7/1/1974,1563.4
10/1/1974,1603
1/1/1975,1619.6
4/1/1975,1656.4
7/1/1975,1713.8
10/1/1975,1765.9
1/1/1976,1824.5
4/1/1976,1856.9
7/1/1976,1890.5
10/1/1976,1938.4
1/1/1977,1992.5
4/1/1977,2060.2
7/1/1977,2122.4
10/1/1977,2168.7
1/1/1978,2208.7
4/1/1978,2336.6
7/1/1978,2398.9
10/1/1978,2482.2
1/1/1979,2531.6
4/1/1979,2595.9
7/1/1979,2670.4
10/1/1979,2730.7
1/1/1980,2796.5
4/1/1980,2799.9
7/1/1980,2860
10/1/1980,2993.5
1/1/1981,3131.8
4/1/1981,3167.3
7/1/1981,3261.2
10/1/1981,3283.5
1/1/1982,3273.8
4/1/1982,3331.3
7/1/1982,3367.1
10/1/1982,3407.8
1/1/1983,3480.3
4/1/1983,3583.8
7/1/1983,3692.3
10/1/1983,3796.1
1/1/1984,3912.8
4/1/1984,4015
7/1/1984,4087.4
10/1/1984,4147.6
1/1/1985,4237
4/1/1985,4302.3
7/1/1985,4394.6
10/1/1985,4453.1
1/1/1986,4516.3
4/1/1986,4555.2
7/1/1986,4619.6
10/1/1986,4669.4
1/1/1987,4736.2
4/1/1987,4821.5
7/1/1987,4900.5
10/1/1987,5022.7
1/1/1988,5090.6
4/1/1988,5207.7
7/1/1988,5299.5
10/1/1988,5412.7
1/1/1989,5527.4
4/1/1989,5628.4
7/1/1989,5711.6
10/1/1989,5763.4
1/1/1990,5890.8
4/1/1990,5974.7
7/1/1990,6029.5
10/1/1990,6023.3
1/1/1991,6054.9
4/1/1991,6143.6
7/1/1991,6218.4
10/1/1991,6279.3
1/1/1992,6380.8
4/1/1992,6492.3
7/1/1992,6586.5
10/1/1992,6697.6
1/1/1993,6748.2
4/1/1993,6829.6
7/1/1993,6904.2
10/1/1993,7032.8
1/1/1994,7136.3
4/1/1994,7269.8
7/1/1994,7352.3
10/1/1994,7476.7
1/1/1995,7545.3
4/1/1995,7604.9
7/1/1995,7706.5
10/1/1995,7799.5
1/1/1996,7893.1
4/1/1996,8061.5
7/1/1996,8159
10/1/1996,8287.1
1/1/1997,8402.1
4/1/1997,8551.9
7/1/1997,8691.8
10/1/1997,8788.3
1/1/1998,8889.7
4/1/1998,8994.7
7/1/1998,9146.5
10/1/1998,9325.7
1/1/1999,9447.1
4/1/1999,9557
7/1/1999,9712.3
10/1/1999,9926.1
1/1/2000,10031
4/1/2000,10278.3
7/1/2000,10357.4
10/1/2000,10472.3
1/1/2001,10508.1
4/1/2001,10638.4
7/1/2001,10639.5
10/1/2001,10701.3
1/1/2002,10834.4
4/1/2002,10934.8
7/1/2002,11037.1
10/1/2002,11103.8
1/1/2003,11230.1
4/1/2003,11370.7
7/1/2003,11625.1
10/1/2003,11816.8
1/1/2004,11988.4
4/1/2004,12181.4
7/1/2004,12367.7
10/1/2004,12562.2
1/1/2005,12813.7
4/1/2005,12974.1
7/1/2005,13205.4
10/1/2005,13381.6
1/1/2006,13648.9
4/1/2006,13799.8
7/1/2006,13908.5
10/1/2006,14066.4
1/1/2007,14233.2
4/1/2007,14422.3
7/1/2007,14569.7
10/1/2007,14685.3
1/1/2008,14668.4
4/1/2008,14813
7/1/2008,14843
10/1/2008,14549.9
1/1/2009,14383.9
4/1/2009,14340.4
7/1/2009,14384.1
10/1/2009,14566.5
1/1/2010,14681.1
4/1/2010,14888.6
7/1/2010,15057.7
10/1/2010,15230.2
1/1/2011,15238.4
4/1/2011,15460.9
7/1/2011,15587.1
10/1/2011,15785.3
1/1/2012,15973.9
4/1/2012,16121.9
7/1/2012,16227.9
10/1/2012,16297.3
1/1/2013,16440.7
4/1/2013,16526.8
7/1/2013,16727.5
10/1/2013,16957.6
1/1/2014,16984.3
4/1/2014,17270
7/1/2014,17522.1
10/1/2014,17615.9
1/1/2015,17649.3
4/1/2015,17913.7
7/1/2015,18060.2
10/1/2015,18164.8
1/1/2016,18229.5
