Year,16 years and older,16 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and older
1948,32.7,43.9,33.2,36.9,35,24.3,9.1
1949,33.1,43.9,33.4,38.1,35.9,25.3,9.6
1950,33.9,43.9,34,39.1,37.9,27,9.7
1951,34.6,44.8,35.4,39.8,39.7,27.6,8.9
1952,34.7,43.6,35.4,40.4,40.1,28.7,9.1
1953,34.4,42.8,34,41.3,40.4,29.1,10
1954,34.6,42.6,34.4,41.2,41.2,30,9.3
1955,35.7,43.1,34.9,41.6,43.8,32.5,10.6
1956,36.9,44.4,35.4,43.1,45.5,34.9,10.8
1957,36.9,43.7,35.6,43.3,46.5,34.5,10.5
1958,37.1,43,35.6,43.4,47.8,35.2,10.3
1959,37.1,41.8,35.3,43.4,49,36.6,10.2
1960,37.7,42.8,36,43.4,49.9,37.2,10.8
1961,38.1,43.4,36.4,43.8,50.1,37.9,10.7
1962,37.9,43.3,36.3,44.1,50,38.7,10
1963,38.3,42.9,37.2,44.9,50.6,39.7,9.6
1964,38.7,43.3,37.2,45,51.4,40.2,10.1
1965,39.3,44,38.5,46.1,50.9,41.1,10
1966,40.3,46.5,39.8,46.8,51.7,41.8,9.6
1967,41.1,47.6,41.9,48.1,51.8,42.4,9.6
1968,41.6,48.5,42.6,48.9,52.3,42.4,9.6
1969,42.7,50.4,43.7,49.9,53.8,43.1,9.9
1970,43.3,51.3,45,51.1,54.4,43,9.7
1971,43.4,51.1,45.6,51.6,54.3,42.9,9.5
1972,43.9,53,47.8,52,53.9,42.1,9.3
1973,44.7,54.9,50.4,53.3,53.7,41.1,8.9
1974,45.7,56.6,52.6,54.7,54.6,40.7,8.1
1975,46.3,57.2,54.9,55.8,54.6,40.9,8.2
1976,47.3,58,57.3,57.8,55,41,8.2
1977,48.4,59.6,59.7,59.6,55.8,40.9,8.1
1978,50,61.7,62.2,61.6,57.1,41.3,8.3
1979,50.9,62.5,63.9,63.6,58.3,41.7,8.3
1980,51.5,61.9,65.5,65.5,59.9,41.3,8.1
1981,52.1,61.9,66.7,66.8,61.1,41.4,8
1982,52.6,62,68,68,61.6,41.8,7.9
1983,52.9,61.9,69,68.7,61.9,41.5,7.8
1984,53.6,62.8,69.8,70.1,62.9,41.7,7.5
1985,54.5,63.7,70.9,71.8,64.4,42,7.3
1986,55.3,64.3,71.6,73.1,65.9,42.3,7.4
1987,56,64.6,72.4,74.5,67.1,42.7,7.4
1988,56.6,64.5,72.7,75.2,69,43.5,7.9
1989,57.4,64.4,73.5,76,70.5,45,8.4
1990,57.5,62.9,73.5,76.4,71.2,45.2,8.6
1991,57.4,61.7,73.1,76.5,72,45.2,8.5
1992,57.8,61.8,73.9,76.7,72.6,46.5,8.3
1993,57.9,62,73.4,76.6,73.5,47.2,8.1
1994,58.8,62.5,74,77.1,74.6,48.9,9.2
1995,58.9,62.3,74.9,77.2,74.4,49.2,8.8
1996,59.3,62.2,75.2,77.5,75.4,49.6,8.6
1997,59.8,62.6,76,77.7,76,50.9,8.6
1998,59.8,63.3,76.3,77.1,76.2,51.2,8.6
1999,60,62.9,76.4,77.2,76.7,51.5,8.9
2000,59.9,63,76.1,77.2,76.8,51.9,9.4
2001,59.8,62,75.5,77.1,76.4,53.2,9.6
2002,59.6,61.1,75.1,76.4,76,55.2,9.8
2003,59.5,59.2,74.1,76,76.8,56.6,10.6
2004,59.2,58.7,73.6,75.6,76.5,56.3,11.1
2005,59.3,58.6,73.9,75.8,76,57,11.5
2006,59.4,57.9,74.4,75.9,76,58.2,11.7
2007,59.3,57.2,74.5,75.5,76,58.3,12.6
2008,59.5,56.5,75.2,76.1,76.1,59.1,13.3
2009,59.2,55.2,75,75.9,76,60,13.6
2010,58.6,53.6,74.7,75.2,75.7,60.2,13.8
2011,58.1,53.3,73.9,74.7,75.4,59.5,14
2012,57.7,53.2,74.1,74.8,74.7,59.4,14.4
2013,57.2,53.5,73.5,74,74.1,59.2,14.9
2014,57,53.6,73.8,74.1,73.8,58.8,15.1
2015,56.7,53.8,73.4,74.3,73.4,58.5,15.3
2016,56.8,53.8,74.5,74.5,73.9,58.4,15.5
